,en_US,pt_BR,es
QS C DS3 D,"If you change your mind,
I will be here!","Se mudar de ideia,
Eu estarei aqui!","Si cambias tu mente,
¡Voy a estar aquí!"
QS C DS3 A,[ATAQUE] Ok!,[ATAQUE] Ok!,[ATAQUE] Ok!
QS SS DS1 D,Did you get all the stones?,Já conseguiu todas as 20 pedras?,¿Conseguiste todas las piedras?
QS SS DS1 A,[ATAQUE] Yes!,[ATAQUE] Sim!,[ATAQUE] ¡Sí! 
QS SS DS1 A1,[ATAQUE] I need to get more!,[ATAQUE] Preciso conseguir mais!,[ATAQUE] ¡Necesito más! 
QS SS DS2 D,"Thanks my little friend!
Take that reward!","Valeu meu parça!
Toma um presentinho! ","¡Gracias mi amiguito! 
¡Toma esa recompensa! "
QS SS DS2 A,[ATAQUE] Thank you so much!,[ATAQUE] Valeu mano!,[ATAQUE] ¡Muchas gracias! 
QS SS DS3 D,Watch out for the bees!,Cuidado com as abelhas!,¡Cuidado con las abejas! 
QS SS DS3 A,"[ATAQUE] OK, I'll be back later!",[ATAQUE] Ok! Eu volto mais tarde!,[ATAQUE] ¡Está bien!
QS SC DS1 D,"Thanks for the help!
Would you like to do me another favor?","Valeu pela ajuda!
Gostaria de me fazer outro favor?","¡Gracias por la ayuda!
¿Quieres hacerme otro favor?"
QS SC DS1 A,[ATAQUE] Yes [ROLAR] No,[ATAQUE] Sim [ROLAR] Não,[ATAQUE] Sí [ROLAR] No
QS SC DS2 D,"Now i need wood
could you bring me 30?","Agora eu preciso de madeira 
pode me trazer 30?","Ahora necesito madera
me puedes traer 30?"
QS SC DS2 A,[ATAQUE] Yes,[ATAQUE] E lá vamos nós!,[ATAQUE] Sí
QS SC DS3 D,"If you change your mind,
I will be here!","Se mudar de ideia,
Eu estarei aqui!","Si cambias tu mente,
¡Voy a estar aquí!"
QS SC DS3 A,[ATAQUE] Ok!,[ATAQUE] Ok!,[ATAQUE] Ok!
QS ST DS1 D,Did you get all the wood?,Já conseguiu todas as 30 madeiras?,¿Conseguiste todas la madera?
QS ST DS1 A,[ATAQUE] Yes!,[ATAQUE] Sim!,[ATAQUE] ¡Sí! 
QS ST DS1 A1,[ATAQUE] I need to get more!,[ATAQUE] Preciso conseguir mais!,[ATAQUE] ¡Necesito más! 
QS ST DS2 D,"Thanks my little friend!
Take that reward!","Valeu meu parça!
Toma um presentinho! ","¡Gracias mi amiguito! 
¡Toma esa recompensa! "
QS ST DS2 A,[ATAQUE] Thank you so much!,[ATAQUE] Valeu mano!,[ATAQUE] ¡Muchas gracias! 
QS ST DS3 D,Watch out for the bees!,Cuidado com as abelhas!,¡Cuidado con las abejas! 
QS ST DS3 A,"[ATAQUE] OK, I'll be back later!",[ATAQUE] Ok! Eu volto mais tarde!,[ATAQUE] ¡Está bien!
HOUSE,Elvarg's House,Casa do Elvarg,Casa de Elvarg 
NPC HOUSE,Bearnardo's House,Casa do Bearnardo,Casa de Bearnardo 
RESUME,RESUME,RESUMIR,REGRESAR
RESTART,RESTART,RECOMEÇAR,REANUDAR 
QUIT,QUIT,SAIR,DEJAR 
DANGEON1,"The Cave of Madness
keep great treasures
but the weak only
 will find the exit
through death!","A Caverna da Loucura
guarda grandes tesouros
mas, os fracos só
 encontrarão a saída
através da morte!   ","La Cueva de la Locura
guarda grandes tesoros
pero, solo los débiles
 encontraras la salida
por la muerte!"
DANGEON7,"Who retreats
in front of a
great opportunity
Certainly will regret it!","Quem recua 
diante de uma 
grande oportunidade
certamente se arrependerá!","Quien regresa
delante de una
gran oportunidad 
sin duda lo lamentaré!"
BUY,Buy,Comprar,Compra
GEMS,Gems,Gemas,Gemas
PRICE,Price:,Preço:,Precio:
Insufficient gems,Insufficient Gems,Gemas Insuficientes,Gemas Insuficientes
Already equipped,Already equipped,Já foi equipado,Ya ha sido equipado
Health Potion,Health Potion,Poção de Saúde,Poción de Salud
Insufficient space,Insufficient space,Espaço Insuficiente,Espacio Insuficiente
Repellent Potion,Repellent Potion,Poção Repelente,Poción Repelente
Mana Potion,Mana Potion,Poção de Mana,Poción de Mana
Bomb,Bomb,Bomba,Bomba
Axe,Axe,Machado,Hacha
Pickaxe,Pickaxe,Picareta,Pico
Swon's Saber,Swon's Saber,Sabre de Swon,Sable de Swon
Map,Map,Mapa,Mapa
Wood,Wood,Madeira,Madera
Stone,Stone,Pedra,Piedra
PANDA,Welcome to Panda Store!,"LAMBDA, LAMBDA, LAMBDA!
SEJA BEM VINDO A PANDA STORE!",¡Bienvenido a Panda Store!
POLAR,"Welcome to Polar Shop!
The best store in all of the Elvarg Island!","Seja bem vindo a Polar Shop!
A melhor loja de toda Elvarg Island!","¡Bienvenido a Polar Shop!
¡La mejor tienda de toda la Elvarg Island!"
Inventory,Inventory,Inventário,Inventario
Backyard of Elvarg,Backyard of Elvarg,Quintal do Elvarg,Patio de Elvarg
Backyard of Bearnardo,Backyard of Bearnardo,Quintal do Bearnardo,Patio de Bearnardo
Bees' Forest,Bees' Forest,Bosque das Abelhas,Bosque de las abejas
Backyard of Polar,Backyard of Polar,Quintal do Polar,Patio de Polar
Panda’s Forest,Panda’s Forest,Floresta do Panda,Bosque del Panda
Elvarg's House,Elvarg's House,Casa do Elvarg,Casa de Elvarg 
Bearnardo’s House,Bearnardo’s House,Casa do Bearnardo,Casa de Bearnardo 
Too dark to read the map,Too dark to read the map,Muito escuro para ler o mapa,Demasiado oscuro para leer el mapa
Bat Cave,Bat Cave,Caverna dos morcegos,Cueva de murciélagos
Lost Cave,Lost Cave,Caverna Perdida,Cueva Perdida
Cave of Madness 1,Cave of Madness 1,Caverna da Loucura 1,Cueva de la Locura 1
Cave of Madness 2,Cave of Madness 2,Caverna da Loucura 2,Cueva de la Locura 2
Cave of Madness 3,Cave of Madness 3,Caverna da Loucura 3,Cueva de la Locura 3
Cave of Madness 4,Cave of Madness 4,Caverna da Loucura 4,Cueva de la Locura 4
Cave of Madness 5,Cave of Madness 5,Caverna da Loucura 5,Cueva de la Locura 5
Cave of Madness 6,Cave of Madness 6,Caverna da Loucura 6,Cueva de la Locura 6
Cave of Treasures,Cave of Treasures,Caverna dos Tesouros,Cueva de Tesoros
,,,
CREDITS,"CREDITOS EM INGLES","UNISC 2022/2


DISCIPLINA DE JOGOS DIGITAIS 


ELVARG’S TALE


ALUNOS:
* CAUÊ RATHKE
* CRISTIANO ECKEL
* EDUARDO DUMKE
* KELVIN ALVES
* MAURICIO WENDLER



SPRITES
https://opengameart.org/

TEXTURAS
https://opengameart.org/

MÚSICAS
https://freemusicarchive.org/

SONS
https://freesound.org/
https://opengameart.org/


OBRIGADO POR TESTAR O JOGO :)
","CREDITOS EM ESPANHOL"
